"TABLE 1","","","","",""
"#","R.","Nome","Squadra","FVM","Quot ."
"# 24","A ( A )","Rafael Leao","Milan","261 ( 261 )","31 ( 31 )"
"# 25","A ( Pc )","Giroud","Milan","194 ( 185 )","27 ( 27 )"
"# 26","A ( Pc )","Okafor","Milan","60 ( 54 )","16 ( 15 )"
"# 27","A ( Pc )","Colombo","Milan","6 ( 5 )","9 ( 8 )"
"# 28","A ( Pc )","Origi","Milan","1 ( 1 )","3 ( 3 )"
"Monza","","","","",""
"# 1","P ( Por )","Di Gregorio","Monza","37 ( 37 )","12 ( 12 )"
"# 2","P ( Por )","Gori","Monza","1 ( 1 )","1 ( 1 )"
"# 3","P ( Por )","Lamanna","Monza","1 ( 1 )","1 ( 1 )"
"# 4","P ( Por )","Sorrentino A.","Monza","1 ( 1 )","1 ( 1 )"
"# 5","D ( DC )","Izzo","Monza","18 ( 18 )","8 ( 8 )"
"# 6","D ( Ds , E )","Kyriakopoulos","Monza","15 ( 15 )","8 ( 8 )"
"# 7","D ( DC )","Mari '","Monza","18 ( 18 )","8 ( 8 )"
"# 8","D ( Ds , Dc )","Caldirola","Monza","10 ( 12 )","7 ( 8 )"
"# 9","D ( Dd , Ds , Dc )","D'Ambrosio","Monza","14 ( 14 )","7 ( 9 )"
"# 10","D ( Dd , Ds , E )","Birindelli","Monza","5 ( 6 )","6 ( 7 )"
